,pm10,pm25,so2,co,o3,no2,categori
0,51.0,65.0,45.0,9.0,8.0,79.0,SEDANG
1,27.0,34.0,45.0,5.0,8.0,56.0,SEDANG
2,40.17863682440021,52.0,46.0,6.0,9.0,51.0,SEDANG
3,46.0,65.0,46.0,8.0,9.0,38.0,SEDANG
4,37.0,55.0,47.0,7.0,11.0,28.0,SEDANG
5,43.0,62.0,50.0,7.0,15.0,14.0,SEDANG
6,40.0,52.0,48.0,8.0,12.0,10.0,SEDANG
7,40.0,62.0,48.0,12.0,12.0,18.0,SEDANG
8,33.0,44.0,47.0,14.0,12.0,24.0,BAIK
9,58.0,46.0,48.0,22.0,12.0,33.0,SEDANG
10,37.0,47.0,7.0,26.0,17.0,17.0,BAIK
11,63.0,96.0,11.0,26.0,27.0,52.0,SEDANG
12,67.0,97.0,14.0,28.0,28.0,62.0,SEDANG
13,62.0,78.0,13.0,25.0,24.0,52.0,SEDANG
14,48.0,63.0,12.0,30.0,24.0,51.0,SEDANG
15,67.0,102.0,13.0,34.0,26.0,58.0,TIDAK SEHAT
16,58.0,83.0,15.0,28.0,29.0,39.0,SEDANG
17,48.0,68.0,12.0,22.0,36.0,34.0,SEDANG
18,50.0,65.0,13.0,19.0,44.0,31.0,SEDANG
19,40.0,62.0,15.0,20.0,34.0,24.0,SEDANG
20,55.0,76.0,14.0,26.0,37.0,34.0,SEDANG
21,40.0,54.0,10.0,18.0,31.0,26.0,SEDANG
22,24.0,45.0,9.0,15.0,30.0,24.0,BAIK
23,33.0,53.0,10.0,20.0,31.0,29.0,SEDANG
24,27.0,47.0,9.0,17.0,34.0,23.0,BAIK
25,27.0,46.0,9.0,19.0,27.0,25.0,BAIK
26,32.0,52.0,13.0,17.0,25.0,20.0,SEDANG
27,46.0,69.0,12.0,21.0,35.0,32.0,SEDANG
28,44.0,60.0,11.0,24.0,33.0,37.0,SEDANG
29,41.0,60.0,14.0,21.0,25.0,38.0,SEDANG
30,57.0,77.0,20.0,22.0,24.0,33.0,SEDANG
31,40.0,52.0,13.0,18.0,24.0,25.0,SEDANG
32,53.0,71.0,13.0,22.0,23.0,40.0,SEDANG
33,52.0,70.0,14.0,25.0,17.0,41.0,SEDANG
34,50.0,71.0,13.0,25.0,22.0,49.0,SEDANG
35,52.0,69.0,11.0,23.0,31.0,51.0,SEDANG
36,41.0,58.0,13.0,19.0,26.0,35.0,SEDANG
37,53.0,73.0,19.0,22.0,20.0,34.0,SEDANG
38,51.0,74.0,13.0,25.0,28.0,34.0,SEDANG
39,50.0,65.0,13.0,17.0,28.0,28.0,SEDANG
40,53.0,70.0,16.0,18.0,27.0,33.0,SEDANG
41,78.0,111.0,58.0,15.0,35.0,44.0,TIDAK SEHAT
42,80.0,109.0,58.0,12.0,30.0,48.0,TIDAK SEHAT
43,71.0,93.0,56.0,13.0,30.0,32.0,SEDANG
44,56.0,69.0,58.0,15.0,27.0,58.0,SEDANG
45,75.0,112.0,56.0,30.0,21.0,63.0,TIDAK SEHAT
46,59.0,83.0,55.0,18.0,18.0,38.0,SEDANG
47,52.0,71.0,55.0,13.0,24.0,19.0,SEDANG
48,55.0,82.0,56.0,14.0,29.0,21.0,SEDANG
49,43.0,67.0,55.0,11.0,22.0,18.0,SEDANG
50,65.0,95.0,56.0,23.0,26.0,27.0,SEDANG
51,34.0,55.0,54.0,6.0,14.0,18.0,SEDANG
52,34.0,57.0,55.0,18.0,10.0,52.0,SEDANG
53,32.0,55.0,54.0,7.0,14.0,19.0,SEDANG
54,28.0,52.0,54.0,11.0,11.0,34.0,SEDANG
55,36.0,58.0,54.0,9.0,10.0,41.0,SEDANG
56,48.0,72.0,54.0,11.0,14.0,24.0,SEDANG
57,39.0,59.0,54.0,12.0,15.0,34.0,SEDANG
58,35.0,58.0,54.0,11.0,15.0,33.0,SEDANG
59,54.0,79.0,54.0,20.0,12.0,60.0,SEDANG
60,50.0,68.0,54.0,13.0,11.0,43.0,SEDANG
61,54.0,74.0,55.0,18.0,11.0,64.0,SEDANG
62,57.0,81.0,54.0,14.0,11.0,39.0,SEDANG
63,43.0,63.0,54.0,14.0,15.0,37.0,SEDANG
64,46.0,63.0,54.0,13.0,16.0,23.0,SEDANG
65,40.0,60.0,54.0,9.0,14.0,28.0,SEDANG
66,48.0,63.0,54.0,14.0,9.0,63.0,SEDANG
67,50.0,68.0,54.0,16.0,11.0,68.0,SEDANG
68,55.0,13.0,54.0,11.0,14.0,27.0,SEDANG
69,57.0,16.0,54.0,9.0,14.0,24.0,SEDANG
70,83.0,113.0,27.0,27.0,13.0,8.0,TIDAK SEHAT
71,40.0,57.0,56.0,10.0,23.0,16.0,SEDANG
72,27.0,46.0,54.0,5.0,28.0,21.44734126505559,SEDANG
73,36.0,59.0,55.0,14.0,22.0,33.0,SEDANG
74,31.0,53.0,54.0,7.0,27.0,8.0,SEDANG
75,33.0,55.0,55.0,11.0,21.0,26.0,SEDANG
76,36.0,57.0,55.0,7.0,21.0,17.0,SEDANG
77,49.0,67.0,54.0,6.0,32.0,10.0,SEDANG
78,52.0,70.0,55.0,13.0,23.0,27.0,SEDANG
79,51.0,64.0,55.0,8.0,20.0,21.0,SEDANG
80,62.0,87.0,56.0,10.0,18.0,27.0,SEDANG
81,42.0,53.0,55.0,6.0,22.0,6.0,SEDANG
82,52.0,70.0,55.0,11.0,18.0,26.0,SEDANG
83,54.0,71.0,55.0,8.0,23.0,18.0,SEDANG
84,48.0,70.0,55.0,11.0,22.0,26.0,SEDANG
85,57.0,76.0,55.0,9.0,27.0,23.0,SEDANG
86,51.0,65.0,55.0,8.0,23.0,22.0,SEDANG
87,59.0,76.0,55.0,10.0,17.0,47.0,SEDANG
88,52.0,73.0,55.0,13.0,24.0,43.0,SEDANG
89,55.0,68.0,55.0,5.0,28.0,9.0,SEDANG
90,52.0,72.0,55.0,6.0,25.0,12.0,SEDANG
91,55.0,83.0,51.0,20.0,17.0,43.0,SEDANG
92,56.0,81.0,51.0,16.0,25.0,31.0,SEDANG
93,59.0,80.0,51.0,16.0,31.0,20.0,SEDANG
94,35.0,56.0,51.0,17.0,16.0,52.0,SEDANG
95,61.0,96.0,52.0,30.0,10.0,78.0,SEDANG
96,62.0,92.0,52.0,19.0,16.0,65.0,SEDANG
97,52.0,69.0,52.0,11.0,19.0,31.0,SEDANG
98,47.0,69.0,52.0,12.0,25.0,32.0,SEDANG
99,54.0,84.0,52.0,11.0,22.0,43.0,SEDANG
100,56.0,82.0,51.0,24.0,17.0,38.0,SEDANG
101,20.0,50.0,54.0,11.0,12.0,47.0,SEDANG
102,51.0,68.0,58.0,16.0,18.0,53.0,SEDANG
103,56.0,77.0,61.0,11.0,31.0,43.0,SEDANG
104,44.0,54.0,56.0,11.0,19.0,27.0,SEDANG
105,27.0,39.0,57.0,11.0,14.0,52.0,SEDANG
106,35.0,54.0,57.0,10.0,16.0,28.0,SEDANG
107,37.0,51.0,57.0,8.0,16.0,22.0,SEDANG
108,52.0,67.0,58.0,12.0,14.0,32.0,SEDANG
109,64.0,89.0,52.0,9.0,13.0,30.0,SEDANG
110,53.0,93.0,52.0,4.0,12.0,28.0,SEDANG
111,52.0,57.0,52.0,6.0,12.0,27.0,SEDANG
112,30.0,53.56080093201692,112.0,20.0,8.0,77.0,TIDAK SEHAT
113,22.0,54.0,46.0,15.0,24.0,44.0,SEDANG
114,49.0,68.0,46.0,12.0,38.0,36.0,SEDANG
115,52.0,77.0,45.0,14.0,34.0,44.0,SEDANG
116,49.0,52.0,46.0,10.0,27.0,32.0,SEDANG
117,50.0,62.0,48.0,13.0,25.0,31.0,SEDANG
