pm10,pm25,so2,co,o3,no2,categori
51,65,45,9,8,79,SEDANG
27,34,45,5,8,56,SEDANG
,52,46,6,9,51,SEDANG
46,65,46,8,9,38,SEDANG
37,55,47,7,11,28,SEDANG
43,62,50,7,15,14,SEDANG
40,52,48,8,12,10,SEDANG
40,62,48,12,12,18,SEDANG
33,44,47,14,12,24,BAIK
58,46,48,22,12,33,SEDANG
37,47,7,26,17,17,BAIK
63,96,11,26,27,52,SEDANG
67,97,14,28,28,62,SEDANG
62,78,13,25,24,52,SEDANG
48,63,12,30,24,51,SEDANG
67,102,13,34,26,58,TIDAK SEHAT
58,83,15,28,29,39,SEDANG
48,68,12,22,36,34,SEDANG
50,65,13,19,44,31,SEDANG
40,62,15,20,34,24,SEDANG
55,76,14,26,37,34,SEDANG
40,54,10,18,31,26,SEDANG
24,45,9,15,30,24,BAIK
33,53,10,20,31,29,SEDANG
27,47,9,17,34,23,BAIK
27,46,9,19,27,25,BAIK
32,52,13,17,25,20,SEDANG
46,69,12,21,35,32,SEDANG
44,60,11,24,33,37,SEDANG
41,60,14,21,25,38,SEDANG
57,77,20,22,24,33,SEDANG
40,52,13,18,24,25,SEDANG
53,71,13,22,23,40,SEDANG
52,70,14,25,17,41,SEDANG
50,71,13,25,22,49,SEDANG
52,69,11,23,31,51,SEDANG
41,58,13,19,26,35,SEDANG
53,73,19,22,20,34,SEDANG
51,74,13,25,28,34,SEDANG
50,65,13,17,28,28,SEDANG
53,70,16,18,27,33,SEDANG
78,111,58,15,35,44,TIDAK SEHAT
80,109,58,12,30,48,TIDAK SEHAT
71,93,56,13,30,32,SEDANG
56,69,58,15,27,58,SEDANG
75,112,56,30,21,63,TIDAK SEHAT
59,83,55,18,18,38,SEDANG
52,71,55,13,24,19,SEDANG
55,82,56,14,29,21,SEDANG
43,67,55,11,22,18,SEDANG
65,95,56,23,26,27,SEDANG
34,55,54,6,14,18,SEDANG
34,57,55,18,10,52,SEDANG
32,55,54,7,14,19,SEDANG
28,52,54,11,11,34,SEDANG
36,58,54,9,10,41,SEDANG
48,72,54,11,14,24,SEDANG
39,59,54,12,15,34,SEDANG
35,58,54,11,15,33,SEDANG
54,79,54,20,12,60,SEDANG
50,68,54,13,11,43,SEDANG
54,74,55,18,11,64,SEDANG
57,81,54,14,11,39,SEDANG
43,63,54,14,15,37,SEDANG
46,63,54,13,16,23,SEDANG
40,60,54,9,14,28,SEDANG
48,63,54,14,9,63,SEDANG
50,68,54,16,11,68,SEDANG
55,13,54,11,14,27,SEDANG
57,16,54,9,14,24,SEDANG
83,113,27,27,13,8,TIDAK SEHAT
40,57,56,10,23,16,SEDANG
27,46,54,5,28,,SEDANG
36,59,55,14,22,33,SEDANG
31,53,54,7,27,8,SEDANG
33,55,55,11,21,26,SEDANG
36,57,55,7,21,17,SEDANG
49,67,54,6,32,10,SEDANG
52,70,55,13,23,27,SEDANG
51,64,55,8,20,21,SEDANG
62,87,56,10,18,27,SEDANG
42,53,55,6,22,6,SEDANG
52,70,55,11,18,26,SEDANG
54,71,55,8,23,18,SEDANG
48,70,55,11,22,26,SEDANG
57,76,55,9,27,23,SEDANG
51,65,55,8,23,22,SEDANG
59,76,55,10,17,47,SEDANG
52,73,55,13,24,43,SEDANG
55,68,55,5,28,9,SEDANG
52,72,55,6,25,12,SEDANG
55,83,51,20,17,43,SEDANG
56,81,51,16,25,31,SEDANG
59,80,51,16,31,20,SEDANG
35,56,51,17,16,52,SEDANG
61,96,52,30,10,78,SEDANG
62,92,52,19,16,65,SEDANG
52,69,52,11,19,31,SEDANG
47,69,52,12,25,32,SEDANG
54,84,52,11,22,43,SEDANG
56,82,51,24,17,38,SEDANG
20,50,54,11,12,47,SEDANG
51,68,58,16,18,53,SEDANG
56,77,61,11,31,43,SEDANG
44,54,56,11,19,27,SEDANG
27,39,57,11,14,52,SEDANG
35,54,57,10,16,28,SEDANG
37,51,57,8,16,22,SEDANG
52,67,58,12,14,32,SEDANG
64,89,52,9,13,30,SEDANG
53,93,52,4,12,28,SEDANG
52,57,52,6,12,27,SEDANG
30,,112,20,8,77,TIDAK SEHAT
22,54,46,15,24,44,SEDANG
49,68,46,12,38,36,SEDANG
52,77,45,14,34,44,SEDANG
49,52,46,10,27,32,SEDANG
50,62,48,13,25,31,SEDANG
49,66,49,10,34,41,SEDANG
51,58,47,10,24,36,SEDANG
30,26,45,8,18,21,BAIK
34,53,46,8,25,25,SEDANG
